Date,Open,High,Low,Close,Volume
2025-03-14T15:00:00.000Z,197.6,198.57,197.4,198.11,424006
2025-03-14T14:00:00.000Z,197.2,198.01,196.94,197.63,105407
2025-03-14T13:00:00.000Z,198.15,198.47,197.04,197.18,107892
2025-03-14T12:00:00.000Z,197.76,198.44,196.77,198.25,122777
2025-03-14T11:00:00.000Z,197.57,198.25,197.02,197.71,175457
2025-03-14T10:00:00.000Z,196.54,197.59,195.35,197.59,224460
2025-03-14T09:00:00.000Z,197.38,198.54,196.49,196.65,260317
2025-03-13T16:00:00.000Z,193.91,193.92,193.9,193.91,1000
2025-03-13T15:00:00.000Z,194.17,194.55,192.86,193.93,300602
2025-03-13T14:00:00.000Z,192.3,194.56,192.26,194.25,156688
2025-03-13T13:00:00.000Z,193.17,193.26,191.84,192.33,227072
2025-03-13T12:00:00.000Z,194.26,194.8,192.75,193.17,351324
2025-03-13T11:00:00.000Z,195.82,196.69,194,194.21,233140
2025-03-13T10:00:00.000Z,194.37,196.58,193.87,195.61,347466
2025-03-13T09:00:00.000Z,198.15,198.87,194.33,194.42,229069
2025-03-12T15:00:00.000Z,199.41,199.54,198.25,198.84,295106
2025-03-12T14:00:00.000Z,197.65,199.78,197.58,199.43,154601
2025-03-12T13:00:00.000Z,198.86,199.6,197.61,197.7,161665
2025-03-12T12:00:00.000Z,198.53,200,197.94,198.81,222192
2025-03-12T11:00:00.000Z,196.51,198.55,195.3,198.55,274519
2025-03-12T10:00:00.000Z,198.7,200,196.47,196.48,340195
2025-03-12T09:00:00.000Z,200.74,201.5,197.97,198.73,338926
2025-03-11T16:00:00.000Z,196.51,196.53,196.5,196.51,2071
2025-03-11T15:00:00.000Z,198.96,199.93,196.5,196.59,375462
2025-03-11T14:00:00.000Z,195.19,199.59,195.17,198.89,278485
2025-03-11T13:00:00.000Z,195.26,195.77,193.4,195.27,327641
2025-03-11T12:00:00.000Z,196.49,196.86,194.87,195.27,202095
2025-03-11T11:00:00.000Z,195.76,198.26,195.37,196.45,232811
2025-03-11T10:00:00.000Z,198.7,200.11,195.06,195.78,427242
2025-03-11T09:00:00.000Z,193.94,199.83,193.81,198.98,388003
2025-03-10T15:00:00.000Z,191.87,194.76,190.85,194.62,715651
2025-03-10T14:00:00.000Z,192.48,193.01,191.69,191.84,204345
2025-03-10T13:00:00.000Z,193.24,193.4,192.12,192.49,301497
2025-03-10T12:00:00.000Z,193.49,194.37,192.7,193.29,252426
2025-03-10T11:00:00.000Z,191.12,195.54,191.09,193.5,459358
2025-03-10T10:00:00.000Z,195.08,195.08,190.91,191.08,675784
2025-03-10T09:00:00.000Z,195.78,196.68,194.66,195.14,411656
2025-03-07T15:00:00.000Z,198.97,200.21,198.18,199.27,404276
2025-03-07T14:00:00.000Z,198.52,200.5,198.07,199.02,339916
2025-03-07T13:00:00.000Z,195.25,198.52,195.23,198.5,261523
2025-03-07T12:00:00.000Z,193.72,196.71,192.69,195.34,498720
2025-03-07T11:00:00.000Z,197.09,197.25,192.56,193.64,533228
2025-03-07T10:00:00.000Z,200.61,201.85,196.53,197.22,320573
2025-03-07T09:00:00.000Z,199.48,202.25,198.98,200.66,281744
2025-03-06T16:00:00.000Z,200.69,200.7,200.69,200.69,400
2025-03-06T15:00:00.000Z,199.06,200.73,198.65,200.71,517462
2025-03-06T14:00:00.000Z,200.84,200.87,198.33,199.08,390730
2025-03-06T13:00:00.000Z,201.5,201.75,199.86,200.82,327641
2025-03-06T12:00:00.000Z,202.25,202.67,200.56,201.55,229899
